legura,kolicina,kom,masina,duzina,profil,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,vm_1,vm_2,vm_3,vm_4,vm_5,vm_6,vm_7,vm_8,vm_9,vm_10,vm_11,vm_12,vm_13,vm_14
Y80,9616,2,L42,4200,400 X 1060,2000,8000,500,0,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,0% - T","AL ingoti  99,7% - T",A - legura (?pon),,,,,,,,,,,
Y80,9850,2,L42,3800,400 X 1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Q90,47667,4,L39,7000,400 X 1600,12000,0,24000,3000,1000,0,0,5000,2000,5000,0,0,0,5,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A31N i A31B,AL otpad  A3B,AL otpad  A5N i A51N,,,,ALBe5%
M40,14026,3,L60,3950,400 X 1100,7000,0,4000,500,0,0,0,1000,1000,1000,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A0 - baliran,AL otpad  A3B,AL otpad  A5N i A51N,,,,
M40,13493,2,L60,3800,400 X 1650,7000,0,3500,500,0,0,0,1000,1000,1000,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3B,AL otpad  A0 - baliran,AL otpad  A5N i A51N,,,,
M40,10071,2,L60,3600,400 X 1300,3000,3000,2500,500,0,0,0,1000,1000,0,0,0,0,0,"AL ingoti  99,0% - T","AL ingoti  99,7% - T","P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3N,AL otpad  A5N i A51N,,,,,
Q90R,47667,4,L39,7000,400 X 1600,12000,0,24000,3000,1000,0,0,4000,2000,5000,0,0,5,15,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A3N,AL otpad  A4N,AL otpad  A5N i A51N,,,ALBe5%,Bi100%
Q90,45624,4,L39,6700,400 X 1600,9000,0,23000,3000,1000,0,0,4000,4000,5000,0,0,5,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A3N,AL otpad  A4N,AL otpad  A5N i A51N,,,ALBe5%,
Q90,48040,5,L39,8600,400 X 1050,15000,0,24000,3000,1000,0,0,3000,4000,1000,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A3N,AL otpad  A5N i A51N,AL otpad  A6SK,,,,
Q90,49412,4,L39,8600,400 X 1350,12000,0,24000,3000,1000,0,0,7000,5000,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A31N i A31B,AL otpad  A5N i A51N,,,,,
Q90,45060,5,L39,7700,400 X 1100,12000,0,23000,3000,1000,0,0,4000,6000,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A3N,AL otpad  A5N i A51N,,,,,
Q90,47667,4,L39,7000,400 X 1600,12000,0,24000,3000,1000,0,0,4000,2000,5000,0,0,0,5,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A3N,AL otpad  A4N,AL otpad  A5N i A51N,,,,ALBe5%
Y80,10433,2,L42,4200,400 X 1150,10500,0,500,0,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,A - legura (?pon),,,,,,,,,,,
EW2,13023,3,L51,4200,400 X 950,0,0,9500,500,0,0,0,1000,1000,2000,0,0,0,0,,,"M - legura (odresci,buntovi)",M -legura (?pon),,,,AL otpad  A3B,AL otpad  A4N,AL sekundarni i omega ingoti A41,,,,
EW2,13230,2,L51,3800,400 X 1600,0,0,9000,500,0,0,0,1000,1000,2000,0,0,0,0,,,"M - legura (odresci,buntovi)",M -legura (?pon),,,,AL otpad  A3B,AL otpad  A4N,AL sekundarni i omega ingoti A41,,,,
EW4,12973,2,L51,4400,400 X 1350,3000,0,7000,500,0,0,0,1000,2000,0,0,0,0,0,"AL ingoti  99,0% - T",,"M - legura (odresci,buntovi)",M -legura (?pon),,,,AL otpad  A4N,AL sekundarni i omega ingoti A41,,,,,
EW4,10614,2,L51,3600,400 X 1350,0,0,9000,500,0,0,0,1000,1000,0,0,0,0,0,,,"M - legura (odresci,buntovi)",M -legura (?pon),,,,AL otpad  A4N,AL sekundarni i omega ingoti A41,,,,,
EW4,9959,2,L51,3800,400 X 1200,0,0,8000,500,0,0,0,1000,1000,0,0,0,0,0,,,"M - legura (odresci,buntovi)",M -legura (?pon),,,,AL otpad  A4N,AL sekundarni i omega ingoti A41,,,,,
EW4,10614,2,L51,3600,400 X 1350,2000,0,7000,500,0,0,0,1000,1000,0,0,0,0,0,"AL ingoti  99,0% - T",,"M - legura (odresci,buntovi)",M -legura (?pon),,,,AL otpad  A0 - baliran,AL otpad  A4N,,,,,
N74,48958,5,L39,7000,400 X 1300,12000,0,25000,3000,1000,0,0,5000,5000,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A3N,AL otpad  A5N i A51N,,,,,
Q96,49157,5,L39,8400,400 X 1100,14000,0,24000,3000,1000,0,0,4000,6000,0,0,0,5,15,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A3N,AL otpad  A5N i A51N,,,,ALBe5%,Bi100%
Q90,50274,5,L39,7000,400 X 1350,13000,0,26000,3000,1000,0,0,4000,2000,4000,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A3N,AL otpad  A4N,AL otpad  A5N i A51N,,,,
Q90,45060,5,L39,7700,400 X 1100,10000,0,26000,3000,1000,0,0,4000,4000,1000,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A31N i A31B,AL otpad  A5N i A51N,AL otpad  A6SK,,,,
Y80,14078,3,L42,3950,400 X 1100,14000,0,500,0,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,A - legura (?pon),,,,,,,,,,,
Y80,12928,3,L42,4200,400 X 950,13000,0,500,0,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,A - legura (?pon),,,,,,,,,,,
EW4,14234,3,L51,3950,400 X 1100,12000,0,0,500,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,0% - T",,,M -legura (?pon),,,,,,,,,,
EW1A,10396,2,L51,3400,400 X 1400,9000,0,2000,0,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"M - legura (odresci,buntovi)",,,,,,,,,,,
EW1A,13694,2,L51,3800,400 X 1650,11000,0,2500,500,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"M - legura (odresci,buntovi)",M -legura (?pon),,,,,,,,,,
M40,13084,2,L60,3800,400 X 1600,2000,5000,4000,500,0,0,0,1000,1000,0,0,0,0,0,"AL ingoti  99,0% - T","AL ingoti  99,7% - T","P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3N,AL otpad  A5N i A51N,,,,,
Q90R,41443,5,L39,8200,400 X 950,10000,0,20000,3000,1000,0,0,4000,2000,5000,0,0,5,15,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A3N,AL otpad  A4N,AL otpad  A5N i A51N,,,ALBe5%,Bi100%
EW1,13279,2,L51,3800,400 X 1600,6000,0,3500,3000,500,0,0,1000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"A - legura (odresci,buntovi)","M - legura (odresci,buntovi)",A - legura (?pon),,,AL otpad  A1 - nova ?ica,,,,,,
EW1,10221,2,L51,3600,400 X 1300,5000,0,2000,2000,500,0,0,1500,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"A - legura (odresci,buntovi)","M - legura (odresci,buntovi)",M -legura (?pon),,,AL otpad  A1 - stara ?ica,,,,,,
EW1,14234,3,L51,3950,400 X 1100,11000,0,3000,500,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"M - legura (odresci,buntovi)",M -legura (?pon),,,,,,,,,,
EW1,10549,2,L51,4200,400 X 1150,8000,0,3000,500,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"M - legura (odresci,buntovi)",M -legura (?pon),,,,,,,,,,
Y80,14078,3,L42,3950,400 X 1100,3000,11000,500,0,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,0% - T","AL ingoti  99,7% - T",A - legura (?pon),,,,,,,,,,,
Y80,10109,2,L42,3600,400 X 1300,8000,2000,500,0,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T","AL ingoti  99,0% - T",A - legura (?pon),,,,,,,,,,,
Q90R,9959,2,L60,3600,400 X 1300,0,0,7500,500,0,0,0,2000,1000,0,0,0,1,3,,,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3N,AL otpad  A5N i A51N,,,,ALBe5%,Bi100%
N71,13974,3,L60,3950,400 X 1100,3000,0,8500,500,0,0,0,1000,2000,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A0 - baliran,AL otpad  A3B,,,,,
N71,10034,2,L60,3600,400 X 1300,2000,0,5500,500,0,0,0,1000,2000,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A0 - baliran,AL otpad  A3B,,,,,
N71,11835,2,L60,3450,400 X 1600,3000,0,6500,500,0,0,0,1000,2000,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A0 - baliran,AL otpad  A3B,,,,,
N73,9626,2,L60,3700,400 X 1200,2000,0,4000,2000,500,0,0,1000,1000,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)","M - legura (odresci,buntovi)",P -legura (?pon),,,AL otpad  A0 - baliran,AL otpad  A3B,,,,,
Q90,11965,2,L60,4200,350 X 1530,3000,0,6500,500,0,0,0,2000,1000,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3N,AL otpad  A5N i A51N,,,,,
Q90,9959,2,L60,3600,400 X 1300,2000,0,6000,500,0,0,0,1000,1000,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3N,AL otpad  A5N i A51N,,,,,
Q90,9474,2,L60,4200,400 X 1060,0,0,7000,500,0,0,0,2000,1000,0,0,0,0,0,,,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3N,AL otpad  A5N i A51N,,,,,
Q90,9704,2,L60,3800,400 X 1200,0,0,8000,500,0,0,0,1000,1000,0,0,0,0,0,,,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3N,AL otpad  A5N i A51N,,,,,
Q90,45060,5,L39,7700,400 X 1100,14000,0,25000,3000,1000,0,0,3000,3000,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A31N i A31B,AL otpad  A5N i A51N,,,,,
Q90,50274,5,L39,7000,400 X 1350,13000,0,24000,3000,1000,0,0,4000,3000,4000,1000,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A3N,AL otpad  A4N,AL otpad  A5N i A51N,AL otpad  A6SK,,,
M40,12449,2,L60,4450,400 X 1300,4000,3000,3500,500,0,0,0,1000,1000,0,0,0,0,0,"AL ingoti  99,0% - T","AL ingoti  99,7% - T","P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A31N i A31B,AL otpad  A5N i A51N,,,,,
M40,13084,2,L60,3800,400 X 1600,7000,0,3000,500,0,0,0,1000,2000,1000,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3N,AL otpad  A1 - nova ?ica,AL otpad  A3N,,,,
Y80,12830,3,L42,3600,400 X 1100,13000,0,500,0,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,A - legura (?pon),,,,,,,,,,,
Y80,12830,3,L42,3600,400 X 1100,3000,10000,500,0,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,0% - T","AL ingoti  99,7% - T",A - legura (?pon),,,,,,,,,,,
Y80,12830,3,L42,3600,400 X 1100,13000,0,500,0,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,A - legura (?pon),,,,,,,,,,,
Y80,13133,2,L42,3800,400 X 1600,13000,0,500,0,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,A - legura (?pon),,,,,,,,,,,
Q90,10278,2,L60,4200,400 X 1150,0,0,7500,500,0,0,0,2000,1000,0,0,0,0,0,,,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3N,AL otpad  A5N i A51N,,,,,
Q90,12257,2,L60,3600,400 X 1600,0,0,9000,500,0,0,0,2000,1000,0,0,0,0,0,,,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3N,AL otpad  A5N i A51N,,,,,
Q90,47667,4,L39,7000,400 X 1600,14000,0,25000,3000,1000,0,0,3000,4000,1000,0,0,0,5,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A3N,AL otpad  A5N i A51N,AL otpad  A6SK,,,,ALBe5%
Q90,49029,4,L39,7200,400 X 1600,14000,0,27000,3000,1000,0,0,3000,4000,1000,0,0,0,5,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A3N,AL otpad  A5N i A51N,AL otpad  A6SK,,,,ALBe5%
Q90,45624,4,L39,6700,400 X 1600,13000,0,25000,3000,1000,0,0,3000,4000,0,0,0,0,5,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A3N,AL otpad  A5N i A51N,,,,,ALBe5%
Q90,50274,5,L39,7000,400 X 1350,8000,0,26000,3000,1000,0,0,7000,8000,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A3N,AL otpad  A5N i A51N,,,,,
Q90,32346,5,L39,6400,400 X 950,10000,0,20000,2000,0,0,0,3000,3000,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A31N i A31B,AL otpad  A5N i A51N,,,,,
Q90,45060,5,L39,7700,400 X 1100,14000,0,18000,3000,1000,0,0,8000,5000,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A31N i A31B,AL otpad  A5N i A51N,,,,,
Q90,49029,4,L39,7200,400 X 1600,15000,0,24000,3000,1000,0,0,8000,2000,0,0,0,0,5,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A5N i A51N,AL otpad  A6SK,,,,,ALBe5%
EW1A,13694,2,L51,3800,400 X 1650,11000,0,2500,500,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"M - legura (odresci,buntovi)",M -legura (?pon),,,,,,,,,,
Q90,12172,2,L60,4400,400 X 1300,0,0,10000,500,0,0,0,2000,1000,0,0,0,0,0,,,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3N,AL otpad  A5N i A51N,,,,,
Q90,9959,2,L60,3600,400 X 1300,0,0,7000,500,0,0,0,2000,1000,0,0,0,0,0,,,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3N,AL otpad  A5N i A51N,,,,,
Q90S,10725,2,L60,3600,400 X 1400,0,0,8000,500,0,0,0,2000,1000,0,0,0,0,0,,,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3N,AL otpad  A5N i A51N,,,,,
Q90,49157,4,L39,7000,400 X 1650,15000,0,27000,3000,1000,0,0,3000,3000,0,0,0,0,5,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A3N,AL otpad  A5N i A51N,,,,,ALBe5%
Q90,13138,3,L60,4200,400 X 980,2000,0,8500,500,0,0,0,2000,1000,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3N,AL otpad  A5N i A51N,,,,,
Y80,14078,3,L42,3950,400 X 1100,11000,3000,0,500,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T","AL ingoti  99,0% - T",,A - legura (?pon),,,,,,,,,,
EW3,12293,2,L42,4200,400 X 1350,0,0,10500,500,0,0,0,2000,0,0,0,0,0,0,,,"M - legura (odresci,buntovi)",M -legura (?pon),,,,AL otpad  A4N,,,,,,
EW3,10536,2,L42,3600,400 X 1350,0,0,9000,500,0,0,0,2000,0,0,0,0,0,0,,,"M - legura (odresci,buntovi)","M - legura (odresci,buntovi)",,,,AL otpad  A4N,,,,,,
EW3,10146,2,L42,3600,400 X 1300,2000,0,7000,500,0,0,0,2000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"M - legura (odresci,buntovi)",M -legura (?pon),,,,AL otpad  A4N,,,,,,
EW3,11837,2,L42,4200,400 X 1300,2000,0,8000,500,0,0,0,2000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"M - legura (odresci,buntovi)",M -legura (?pon),,,,AL otpad  A4N,,,,,,
EW3,14130,3,L42,3950,400 X 1100,3000,0,9500,500,0,0,0,2000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"M - legura (odresci,buntovi)",M -legura (?pon),,,,AL otpad  A4N,,,,,,
EW3,13181,2,L42,3800,400 X 1600,3000,0,7500,500,0,0,0,3000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"M - legura (odresci,buntovi)",M -legura (?pon),,,,AL sekundarni i omega ingoti A41,,,,,,
EW3,9886,2,L42,3800,400 X 1200,2000,0,6500,500,0,0,0,2000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"M - legura (odresci,buntovi)",M -legura (?pon),,,,AL otpad  A4N,,,,,,
EW3,10471,2,L42,4200,400 X 1150,2000,0,7000,500,0,0,0,2000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"M - legura (odresci,buntovi)",M -legura (?pon),,,,AL otpad  A4N,,,,,,
EW3,13203,2,L42,4200,400 X 1450,2000,0,9500,500,0,0,0,2000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"M - legura (odresci,buntovi)",M -legura (?pon),,,,AL otpad  A4N,,,,,,
Y80,13133,2,L42,3800,400 X 1600,3000,10000,500,0,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,0% - T","AL ingoti  99,7% - T",A - legura (?pon),,,,,,,,,,,
Y80,10109,2,L42,3600,400 X 1300,2000,8000,500,0,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,0% - T","AL ingoti  99,7% - T",A - legura (?pon),,,,,,,,,,,
Y80,13336,3,L42,4200,400 X 980,3000,10000,500,0,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,0% - T","AL ingoti  99,7% - T",A - legura (?pon),,,,,,,,,,,
Q90,9704,2,L60,3800,400 X 1200,2000,0,6500,500,0,0,0,2000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3N,,,,,,
Q90,9474,2,L60,4200,400 X 1060,2000,0,6000,500,0,0,0,2000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3N,,,,,,
Q90,9959,2,L60,3600,400 X 1300,2000,0,6500,500,0,0,0,2000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3N,,,,,,
Q90,11747,2,L60,3450,400 X 1600,3000,0,7000,500,0,0,0,2000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3N,,,,,,
Q90,12640,2,L60,4400,400 X 1350,3000,0,8000,500,0,0,0,2000,0,0,0,0,0,0,"AL ingoti  99,7% - BLOK",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3B,,,,,,
Q90,13869,3,L60,3950,400 X 1100,4000,0,8000,500,0,0,0,2000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3N,,,,,,
N73,47696,5,L39,8000,400 X 1100,12000,0,5000,20000,3000,1000,0,5000,5000,0,0,0,0,0,"AL ingoti  99,7% - T",,"M - legura (odresci,buntovi)","P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,AL otpad  A31N i A31B,AL otpad  A5N i A51N,,,,,
EW3,13658,2,L42,4200,400 X 1500,3000,0,8000,500,0,0,0,3000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"M - legura (odresci,buntovi)",M -legura (?pon),,,,AL sekundarni i omega ingoti A41,,,,,,
EW1A,13606,2,L51,4450,400 X 1400,11500,0,2500,500,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"M - legura (odresci,buntovi)",M -legura (?pon),,,,,,,,,,
Q90,10342,2,L60,3600,400 X 1350,3000,0,6000,500,0,0,0,2000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3N,,,,,,
EW3,13385,3,L42,4200,400 X 980,3000,0,8500,500,0,0,0,2000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"M - legura (odresci,buntovi)",M -legura (?pon),,,,AL otpad  A4N,,,,,,
Q90,12640,2,L60,4400,400 X 1350,5000,0,7500,500,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,,,,,,,
Q90,10342,2,L60,3600,400 X 1350,3000,0,5000,500,0,0,0,2000,1000,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A31N i A31B,AL otpad  A5N i A51N,,,,,
Q90,10342,2,L60,3600,400 X 1350,2000,0,5000,500,0,0,0,4000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A31N i A31B,,,,,,
Q90,49412,4,L39,8600,400 X 1350,10000,0,24000,3000,1000,0,0,4000,10000,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A31N i A31B,AL otpad  A5N i A51N,,,,,
EW1A,10396,2,L51,3400,400 X 1400,9000,0,2000,500,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"M - legura (odresci,buntovi)",M -legura (?pon),,,,,,,,,,
Q90,9959,2,L60,3600,400 X 1300,4000,0,6000,500,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,,,,,,,
Q90,49029,4,L39,7200,400 X 1600,10000,0,24000,3000,1000,0,0,7000,8000,0,0,0,0,5,"AL ingoti  99,8% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A31N i A31B,AL otpad  A5N i A51N,,,,,ALBe5%
Q90,9704,2,L60,3800,400 X 1200,3000,0,4000,500,0,0,0,2000,1000,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A31N i A31B,AL otpad  A5N i A51N,,,,,
Q90,45060,5,L39,7700,400 X 1100,8000,0,22000,3000,1000,0,0,7000,8000,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A31N i A31B,AL otpad  A5N i A51N,,,,,
Q90,40964,5,L39,7000,400 X 1100,7000,0,18000,3000,1000,0,0,7000,7000,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A31N i A31B,AL otpad  A5N i A51N,,,,,
Q90,50274,5,L39,7000,400 X 1350,15000,0,23000,3000,1000,0,0,1000,5000,2000,3000,1000,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A0 - baliran,AL otpad  A31N i A31B,AL otpad  A4N,AL otpad  A5N i A51N,AL otpad  A6SK,,
EW4,11400,2,L51,3600,400 X 1450,0,0,7000,500,0,0,0,5000,0,0,0,0,0,0,,,"M - legura (odresci,buntovi)",M -legura (?pon),,,,AL sekundarni i omega ingoti A41,,,,,,
EW4,10614,2,L51,3600,400 X 1350,2000,0,5000,500,0,0,0,4000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"M - legura (odresci,buntovi)",M -legura (?pon),,,,AL sekundarni i omega ingoti A41,,,,,,
EW4,11073,2,L51,3900,400 X 1300,4000,0,7500,500,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"M - legura (odresci,buntovi)",M -legura (?pon),,,,,,,,,,
EW3,14130,3,L42,3950,400 X 1100,2000,0,7500,500,0,0,0,5000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"M - legura (odresci,buntovi)",M -legura (?pon),,,,AL sekundarni i omega ingoti A41,,,,,,
EW3,10536,2,L51,3600,400 X 1350,3000,0,6000,500,0,0,0,1000,1000,0,0,0,0,0,"AL ingoti  99,7% - T",,"M - legura (odresci,buntovi)",M -legura (?pon),,,,AL otpad  A1 - stara ?ica,AL otpad  A4N,,,,,
EW3,12293,2,L42,4200,400 X 1350,2000,0,6500,500,0,0,0,4000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"M - legura (odresci,buntovi)",M -legura (?pon),,,,AL sekundarni i omega ingoti A41,,,,,,
EW3,10146,2,L42,3600,400 X 1300,2000,0,5000,500,0,0,0,4000,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"M - legura (odresci,buntovi)",M -legura (?pon),,,,AL sekundarni i omega ingoti A41,,,,,,
